updatetime,vehiclecount,_id,totalspaces,garagecode,streamtime
01:18.0,252,40,700,SALLING,11/3/2014 16:18
31:22.3,0,41,65,NORREPORT,11/3/2014 16:18
31:22.3,0,42,512,SKOLEBAKKEN,11/3/2014 16:18
31:22.3,360,43,1240,SCANDCENTER,11/3/2014 16:18
31:22.3,22,44,953,BRUUNS,11/3/2014 16:18
31:22.3,154,45,130,BUSGADEHUSET,11/3/2014 16:18
31:22.3,192,46,400,MAGASIN,11/3/2014 16:18
31:22.3,62,47,210,KALKVAERKSVEJ,11/3/2014 16:18
31:22.3,204,48,700,SALLING,11/3/2014 16:18
19:52.1,0,49,65,NORREPORT,11/3/2014 16:18
19:52.1,0,50,512,SKOLEBAKKEN,11/3/2014 16:18
19:52.1,332,51,1240,SCANDCENTER,11/3/2014 16:18
19:52.1,22,52,953,BRUUNS,11/3/2014 16:18
19:52.1,167,53,130,BUSGADEHUSET,11/3/2014 16:18
19:52.1,162,54,400,MAGASIN,11/3/2014 16:18
19:52.1,60,55,210,KALKVAERKSVEJ,11/3/2014 16:18
19:52.1,180,56,700,SALLING,11/3/2014 16:18
49:54.0,0,57,65,NORREPORT,11/3/2014 16:18
49:54.0,0,58,512,SKOLEBAKKEN,11/3/2014 16:18
49:54.0,321,59,1240,SCANDCENTER,11/3/2014 16:18
49:54.0,22,60,953,BRUUNS,11/3/2014 16:18
49:54.0,166,61,130,BUSGADEHUSET,11/3/2014 16:18
49:54.0,150,62,400,MAGASIN,11/3/2014 16:18
49:54.0,55,63,210,KALKVAERKSVEJ,11/3/2014 16:18
49:54.0,161,64,700,SALLING,11/3/2014 16:18
31:45.5,0,65,65,NORREPORT,11/3/2014 16:18
31:45.5,0,66,512,SKOLEBAKKEN,11/3/2014 16:18
31:45.5,269,67,1240,SCANDCENTER,11/3/2014 16:18
31:45.5,22,68,953,BRUUNS,11/3/2014 16:18
31:45.5,138,69,130,BUSGADEHUSET,11/3/2014 16:18
31:45.5,100,70,400,MAGASIN,11/3/2014 16:18
31:45.5,38,71,210,KALKVAERKSVEJ,11/3/2014 16:18
31:45.5,79,72,700,SALLING,11/3/2014 16:18
01:45.6,0,73,65,NORREPORT,11/3/2014 16:18
01:45.6,0,74,512,SKOLEBAKKEN,11/3/2014 16:18
01:45.6,260,75,1240,SCANDCENTER,11/3/2014 16:18
01:45.6,22,76,953,BRUUNS,11/3/2014 16:18
01:45.6,136,77,130,BUSGADEHUSET,11/3/2014 16:18
01:45.6,91,78,400,MAGASIN,11/3/2014 16:18
01:45.6,34,79,210,KALKVAERKSVEJ,11/3/2014 16:18
01:45.6,69,80,700,SALLING,11/3/2014 16:18
37:52.1,0,81,65,NORREPORT,11/3/2014 16:18
37:52.1,0,82,512,SKOLEBAKKEN,11/3/2014 16:18
37:52.1,245,83,1240,SCANDCENTER,11/3/2014 16:18
37:52.1,22,84,953,BRUUNS,11/3/2014 16:18
37:52.1,136,85,130,BUSGADEHUSET,11/3/2014 16:18
37:52.1,87,86,400,MAGASIN,11/3/2014 16:18
37:52.1,33,87,210,KALKVAERKSVEJ,11/3/2014 16:18
37:52.1,66,88,700,SALLING,11/3/2014 16:18
26:29.4,0,89,65,NORREPORT,11/3/2014 16:18
26:29.4,0,90,512,SKOLEBAKKEN,11/3/2014 16:18
26:29.4,588,91,1240,SCANDCENTER,11/3/2014 16:18
26:29.4,22,92,953,BRUUNS,11/3/2014 16:18
26:29.4,78,93,130,BUSGADEHUSET,11/3/2014 16:18
26:29.4,132,94,400,MAGASIN,11/3/2014 16:18
26:29.4,74,95,210,KALKVAERKSVEJ,11/3/2014 16:18
26:29.4,158,96,700,SALLING,11/3/2014 16:18
57:48.6,0,97,65,NORREPORT,11/3/2014 16:18
57:48.6,0,98,512,SKOLEBAKKEN,11/3/2014 16:18
