updatetime,vehiclecount,_id,totalspaces,garagecode,streamtime
26:49.5,0,9633,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,252,9634,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,311,9635,953,BRUUNS,11/3/2014 16:18
26:49.5,46,9636,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,152,9637,400,MAGASIN,11/3/2014 16:18
26:49.5,35,9638,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,199,9639,700,SALLING,11/3/2014 16:18
56:49.5,0,9640,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9641,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,225,9642,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,271,9643,953,BRUUNS,11/3/2014 16:18
56:49.5,43,9644,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,131,9645,400,MAGASIN,11/3/2014 16:18
56:49.5,37,9646,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,157,9647,700,SALLING,11/3/2014 16:18
26:49.5,0,9648,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9649,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,224,9650,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,201,9651,953,BRUUNS,11/3/2014 16:18
26:49.5,41,9652,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,123,9653,400,MAGASIN,11/3/2014 16:18
26:49.5,38,9654,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,115,9655,700,SALLING,11/3/2014 16:18
56:49.5,0,9656,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9657,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,208,9658,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,163,9659,953,BRUUNS,11/3/2014 16:18
56:49.5,41,9660,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,104,9661,400,MAGASIN,11/3/2014 16:18
56:49.5,37,9662,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,101,9663,700,SALLING,11/3/2014 16:18
26:49.5,0,9664,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9665,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,214,9666,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,151,9667,953,BRUUNS,11/3/2014 16:18
26:49.5,37,9668,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,74,9669,400,MAGASIN,11/3/2014 16:18
26:49.5,37,9670,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,78,9671,700,SALLING,11/3/2014 16:18
56:49.5,0,9672,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9673,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,215,9674,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,145,9675,953,BRUUNS,11/3/2014 16:18
56:49.5,27,9676,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,56,9677,400,MAGASIN,11/3/2014 16:18
56:49.5,34,9678,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,68,9679,700,SALLING,11/3/2014 16:18
26:49.5,0,9680,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9681,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,200,9682,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,125,9683,953,BRUUNS,11/3/2014 16:18
26:49.5,16,9684,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,38,9685,400,MAGASIN,11/3/2014 16:18
26:49.5,29,9686,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,63,9687,700,SALLING,11/3/2014 16:18
56:49.5,0,9688,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9689,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,193,9690,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,92,9691,953,BRUUNS,11/3/2014 16:18
56:49.5,13,9692,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,25,9693,400,MAGASIN,11/3/2014 16:18
56:49.5,27,9694,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,60,9695,700,SALLING,11/3/2014 16:18
26:49.5,0,9696,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9697,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,186,9698,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,87,9699,953,BRUUNS,11/3/2014 16:18
26:49.5,8,9700,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,22,9701,400,MAGASIN,11/3/2014 16:18
26:49.5,27,9702,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,59,9703,700,SALLING,11/3/2014 16:18
56:49.5,0,9704,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9705,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,181,9706,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,86,9707,953,BRUUNS,11/3/2014 16:18
56:49.5,6,9708,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,17,9709,400,MAGASIN,11/3/2014 16:18
56:49.5,28,9710,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,58,9711,700,SALLING,11/3/2014 16:18
26:49.5,0,9712,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9713,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,176,9714,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,80,9715,953,BRUUNS,11/3/2014 16:18
26:49.5,1,9716,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,14,9717,400,MAGASIN,11/3/2014 16:18
26:49.5,27,9718,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,57,9719,700,SALLING,11/3/2014 16:18
56:49.5,0,9720,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9721,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,174,9722,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,69,9723,953,BRUUNS,11/3/2014 16:18
56:49.5,5,9724,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,12,9725,400,MAGASIN,11/3/2014 16:18
56:49.5,27,9726,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,56,9727,700,SALLING,11/3/2014 16:18
26:49.5,0,9728,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9729,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,178,9730,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,45,9731,953,BRUUNS,11/3/2014 16:18
26:49.5,4,9732,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,12,9733,400,MAGASIN,11/3/2014 16:18
26:49.5,27,9734,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,56,9735,700,SALLING,11/3/2014 16:18
56:49.5,0,9736,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9737,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,180,9738,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,45,9739,953,BRUUNS,11/3/2014 16:18
56:49.5,3,9740,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,11,9741,400,MAGASIN,11/3/2014 16:18
56:49.5,27,9742,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,56,9743,700,SALLING,11/3/2014 16:18
26:49.5,0,9744,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9745,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,180,9746,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,45,9747,953,BRUUNS,11/3/2014 16:18
26:49.5,2,9748,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,11,9749,400,MAGASIN,11/3/2014 16:18
26:49.5,27,9750,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,56,9751,700,SALLING,11/3/2014 16:18
56:49.5,0,9752,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9753,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,180,9754,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,45,9755,953,BRUUNS,11/3/2014 16:18
56:49.5,2,9756,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,11,9757,400,MAGASIN,11/3/2014 16:18
56:49.5,27,9758,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,57,9759,700,SALLING,11/3/2014 16:18
26:49.5,0,9760,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9761,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,180,9762,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,45,9763,953,BRUUNS,11/3/2014 16:18
26:49.5,2,9764,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,11,9765,400,MAGASIN,11/3/2014 16:18
26:49.5,27,9766,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,57,9767,700,SALLING,11/3/2014 16:18
56:49.5,0,9768,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9769,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,180,9770,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,45,9771,953,BRUUNS,11/3/2014 16:18
56:49.5,1,9772,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,11,9773,400,MAGASIN,11/3/2014 16:18
56:49.5,27,9774,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,58,9775,700,SALLING,11/3/2014 16:18
26:49.5,0,9776,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9777,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,180,9778,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,45,9779,953,BRUUNS,11/3/2014 16:18
26:49.5,1,9780,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,11,9781,400,MAGASIN,11/3/2014 16:18
26:49.5,27,9782,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,60,9783,700,SALLING,11/3/2014 16:18
56:49.5,0,9784,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9785,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,180,9786,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,45,9787,953,BRUUNS,11/3/2014 16:18
56:49.5,1,9788,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,11,9789,400,MAGASIN,11/3/2014 16:18
56:49.5,27,9790,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,60,9791,700,SALLING,11/3/2014 16:18
26:49.5,0,9792,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9793,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,180,9794,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,46,9795,953,BRUUNS,11/3/2014 16:18
26:49.5,1,9796,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,11,9797,400,MAGASIN,11/3/2014 16:18
26:49.5,27,9798,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,60,9799,700,SALLING,11/3/2014 16:18
56:49.5,0,9800,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9801,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,181,9802,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,46,9803,953,BRUUNS,11/3/2014 16:18
56:49.5,1,9804,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,11,9805,400,MAGASIN,11/3/2014 16:18
56:49.5,27,9806,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,60,9807,700,SALLING,11/3/2014 16:18
26:49.5,0,9808,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9809,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,183,9810,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,46,9811,953,BRUUNS,11/3/2014 16:18
26:49.5,0,9812,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,11,9813,400,MAGASIN,11/3/2014 16:18
26:49.5,27,9814,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,59,9815,700,SALLING,11/3/2014 16:18
56:49.5,0,9816,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9817,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,185,9818,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,50,9819,953,BRUUNS,11/3/2014 16:18
56:49.5,0,9820,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,12,9821,400,MAGASIN,11/3/2014 16:18
56:49.5,27,9822,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,59,9823,700,SALLING,11/3/2014 16:18
26:49.5,0,9824,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9825,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,204,9826,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,58,9827,953,BRUUNS,11/3/2014 16:18
26:49.5,2,9828,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,16,9829,400,MAGASIN,11/3/2014 16:18
26:49.5,28,9830,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,60,9831,700,SALLING,11/3/2014 16:18
56:49.5,0,9832,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9833,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,219,9834,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,64,9835,953,BRUUNS,11/3/2014 16:18
56:49.5,9,9836,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,17,9837,400,MAGASIN,11/3/2014 16:18
56:49.5,31,9838,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,66,9839,700,SALLING,11/3/2014 16:18
26:49.5,0,9840,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9841,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,248,9842,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,78,9843,953,BRUUNS,11/3/2014 16:18
26:49.5,13,9844,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,27,9845,400,MAGASIN,11/3/2014 16:18
26:49.5,39,9846,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,71,9847,700,SALLING,11/3/2014 16:18
56:49.5,0,9848,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9849,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,326,9850,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,115,9851,953,BRUUNS,11/3/2014 16:18
56:49.5,13,9852,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,49,9853,400,MAGASIN,11/3/2014 16:18
56:49.5,53,9854,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,108,9855,700,SALLING,11/3/2014 16:18
26:49.5,0,9856,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9857,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,475,9858,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,180,9859,953,BRUUNS,11/3/2014 16:18
26:49.5,15,9860,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,64,9861,400,MAGASIN,11/3/2014 16:18
26:49.5,68,9862,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,155,9863,700,SALLING,11/3/2014 16:18
56:49.5,90,9869,400,MAGASIN,11/3/2014 16:18
56:49.5,0,9864,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9865,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,569,9866,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,223,9867,953,BRUUNS,11/3/2014 16:18
56:49.5,22,9868,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,79,9870,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,204,9871,700,SALLING,11/3/2014 16:18
26:49.5,0,9872,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9873,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,635,9874,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,266,9875,953,BRUUNS,11/3/2014 16:18
26:49.5,36,9876,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,124,9877,400,MAGASIN,11/3/2014 16:18
26:49.5,83,9878,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,248,9879,700,SALLING,11/3/2014 16:18
56:49.5,0,9880,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9881,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,679,9882,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,317,9883,953,BRUUNS,11/3/2014 16:18
56:49.5,51,9884,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,156,9885,400,MAGASIN,11/3/2014 16:18
56:49.5,86,9886,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,311,9887,700,SALLING,11/3/2014 16:18
26:49.5,0,9888,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9889,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,703,9890,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,397,9891,953,BRUUNS,11/3/2014 16:18
26:49.5,77,9892,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,208,9893,400,MAGASIN,11/3/2014 16:18
26:49.5,89,9894,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,390,9895,700,SALLING,11/3/2014 16:18
56:49.5,0,9896,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9897,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,732,9898,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,469,9899,953,BRUUNS,11/3/2014 16:18
56:49.5,109,9900,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,241,9901,400,MAGASIN,11/3/2014 16:18
56:49.5,86,9902,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,462,9903,700,SALLING,11/3/2014 16:18
26:49.5,0,9904,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9905,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,738,9906,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,539,9907,953,BRUUNS,11/3/2014 16:18
26:49.5,150,9908,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,275,9909,400,MAGASIN,11/3/2014 16:18
26:49.5,89,9910,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,493,9911,700,SALLING,11/3/2014 16:18
56:49.5,0,9912,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9913,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,763,9914,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,580,9915,953,BRUUNS,11/3/2014 16:18
56:49.5,153,9916,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,293,9917,400,MAGASIN,11/3/2014 16:18
56:49.5,82,9918,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,534,9919,700,SALLING,11/3/2014 16:18
26:49.5,0,9920,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9921,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,765,9922,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,653,9923,953,BRUUNS,11/3/2014 16:18
26:49.5,165,9924,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,320,9925,400,MAGASIN,11/3/2014 16:18
26:49.5,85,9926,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,538,9927,700,SALLING,11/3/2014 16:18
56:49.5,0,9928,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9929,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,769,9930,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,717,9931,953,BRUUNS,11/3/2014 16:18
56:49.5,177,9932,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,340,9933,400,MAGASIN,11/3/2014 16:18
56:49.5,83,9934,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,576,9935,700,SALLING,11/3/2014 16:18
26:49.5,0,9936,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9937,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,762,9938,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,745,9939,953,BRUUNS,11/3/2014 16:18
26:49.5,188,9940,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,341,9941,400,MAGASIN,11/3/2014 16:18
26:49.5,87,9942,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,600,9943,700,SALLING,11/3/2014 16:18
56:49.5,0,9944,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9945,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,755,9946,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,750,9947,953,BRUUNS,11/3/2014 16:18
56:49.5,191,9948,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,339,9949,400,MAGASIN,11/3/2014 16:18
56:49.5,90,9950,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,604,9951,700,SALLING,11/3/2014 16:18
26:49.5,0,9952,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9953,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,732,9954,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,714,9955,953,BRUUNS,11/3/2014 16:18
26:49.5,198,9956,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,348,9957,400,MAGASIN,11/3/2014 16:18
26:49.5,84,9958,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,595,9959,700,SALLING,11/3/2014 16:18
56:49.5,0,9960,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9961,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,684,9962,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,679,9963,953,BRUUNS,11/3/2014 16:18
56:49.5,208,9964,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,313,9965,400,MAGASIN,11/3/2014 16:18
56:49.5,78,9966,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,603,9967,700,SALLING,11/3/2014 16:18
26:49.5,0,9968,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9969,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,638,9970,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,663,9971,953,BRUUNS,11/3/2014 16:18
26:49.5,206,9972,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,297,9973,400,MAGASIN,11/3/2014 16:18
26:49.5,66,9974,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,542,9975,700,SALLING,11/3/2014 16:18
56:49.5,0,9976,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9977,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,594,9978,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,630,9979,953,BRUUNS,11/3/2014 16:18
56:49.5,207,9980,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,263,9981,400,MAGASIN,11/3/2014 16:18
56:49.5,52,9982,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,496,9983,700,SALLING,11/3/2014 16:18
26:49.5,0,9984,65,NORREPORT,11/3/2014 16:18
26:49.5,0,9985,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,473,9986,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,611,9987,953,BRUUNS,11/3/2014 16:18
26:49.5,204,9988,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,230,9989,400,MAGASIN,11/3/2014 16:18
26:49.5,53,9990,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,415,9991,700,SALLING,11/3/2014 16:18
56:49.5,0,9992,65,NORREPORT,11/3/2014 16:18
56:49.5,0,9993,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,399,9994,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,572,9995,953,BRUUNS,11/3/2014 16:18
56:49.5,228,9996,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,209,9997,400,MAGASIN,11/3/2014 16:18
56:49.5,54,9998,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,391,9999,700,SALLING,11/3/2014 16:18
26:49.5,0,10000,65,NORREPORT,11/3/2014 16:18
26:49.5,0,10001,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,349,10002,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,534,10003,953,BRUUNS,11/3/2014 16:18
26:49.5,239,10004,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,195,10005,400,MAGASIN,11/3/2014 16:18
26:49.5,52,10006,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,339,10007,700,SALLING,11/3/2014 16:18
56:49.5,0,10008,65,NORREPORT,11/3/2014 16:18
56:49.5,0,10009,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,308,10010,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,482,10011,953,BRUUNS,11/3/2014 16:18
56:49.5,224,10012,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,177,10013,400,MAGASIN,11/3/2014 16:18
56:49.5,46,10014,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,297,10015,700,SALLING,11/3/2014 16:18
26:49.5,0,10016,65,NORREPORT,11/3/2014 16:18
26:49.5,0,10017,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,284,10018,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,423,10019,953,BRUUNS,11/3/2014 16:18
26:49.5,235,10020,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,154,10021,400,MAGASIN,11/3/2014 16:18
26:49.5,43,10022,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,248,10023,700,SALLING,11/3/2014 16:18
56:49.5,0,10024,65,NORREPORT,11/3/2014 16:18
56:49.5,0,10025,512,SKOLEBAKKEN,11/3/2014 16:18
56:49.5,265,10026,1240,SCANDCENTER,11/3/2014 16:18
56:49.5,373,10027,953,BRUUNS,11/3/2014 16:18
56:49.5,250,10028,130,BUSGADEHUSET,11/3/2014 16:18
56:49.5,160,10029,400,MAGASIN,11/3/2014 16:18
56:49.5,41,10030,210,KALKVAERKSVEJ,11/3/2014 16:18
56:49.5,210,10031,700,SALLING,11/3/2014 16:18
26:49.5,0,10032,65,NORREPORT,11/3/2014 16:18
26:49.5,0,10033,512,SKOLEBAKKEN,11/3/2014 16:18
26:49.5,249,10034,1240,SCANDCENTER,11/3/2014 16:18
26:49.5,304,10035,953,BRUUNS,11/3/2014 16:18
26:49.5,248,10036,130,BUSGADEHUSET,11/3/2014 16:18
26:49.5,155,10037,400,MAGASIN,11/3/2014 16:18
26:49.5,40,10038,210,KALKVAERKSVEJ,11/3/2014 16:18
26:49.5,183,10039,700,SALLING,11/3/2014 16:18
56:49.5,0,10040,65,NORREPORT,11/3/2014 16:19
56:49.5,0,10041,512,SKOLEBAKKEN,11/3/2014 16:19
56:49.5,232,10042,1240,SCANDCENTER,11/3/2014 16:19
56:49.5,250,10043,953,BRUUNS,11/3/2014 16:19
56:49.5,238,10044,130,BUSGADEHUSET,11/3/2014 16:19
56:49.5,133,10045,400,MAGASIN,11/3/2014 16:19
56:49.5,38,10046,210,KALKVAERKSVEJ,11/3/2014 16:19
56:49.5,154,10047,700,SALLING,11/3/2014 16:19
26:49.5,0,10048,65,NORREPORT,11/3/2014 16:19
26:49.5,0,10049,512,SKOLEBAKKEN,11/3/2014 16:19
26:49.5,229,10050,1240,SCANDCENTER,11/3/2014 16:19
26:49.5,222,10051,953,BRUUNS,11/3/2014 16:19
26:49.5,228,10052,130,BUSGADEHUSET,11/3/2014 16:19
26:49.5,105,10053,400,MAGASIN,11/3/2014 16:19
26:49.5,37,10054,210,KALKVAERKSVEJ,11/3/2014 16:19
26:49.5,129,10055,700,SALLING,11/3/2014 16:19
