updatetime,vehiclecount,totalspaces,garagecode,streamtime
1646,886,1240,3,1618
1646,22,953,4,1618
1646,113,130,5,1618
1646,283,400,6,1618
1646,107,210,7,1618
1646,496,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,896,1240,3,1618
1676,22,953,4,1618
1676,118,130,5,1618
1676,306,400,6,1618
1676,106,210,7,1618
1676,526,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,901,1240,3,1618
1646,22,953,4,1618
1646,117,130,5,1618
1646,325,400,6,1618
1646,111,210,7,1618
1646,523,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,884,1240,3,1618
1676,22,953,4,1618
1676,122,130,5,1618
1676,321,400,6,1618
1676,106,210,7,1618
1676,518,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,848,1240,3,1618
1646,22,953,4,1618
1646,122,130,5,1618
1646,312,400,6,1618
1646,101,210,7,1618
1646,517,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,812,1240,3,1618
1676,22,953,4,1618
1676,103,130,5,1618
1676,294,400,6,1618
1676,96,210,7,1618
1676,488,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,725,1240,3,1618
1646,22,953,4,1618
1646,91,130,5,1618
1646,286,400,6,1618
1646,75,210,7,1618
1646,441,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,661,1240,3,1618
1676,22,953,4,1618
1676,72,130,5,1618
1676,250,400,6,1618
1676,62,210,7,1618
1676,387,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,565,1240,3,1618
1646,22,953,4,1618
1646,63,130,5,1618
1646,222,400,6,1618
1646,53,210,7,1618
1646,332,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,459,1240,3,1618
1676,22,953,4,1618
1676,67,130,5,1618
1676,193,400,6,1618
1676,49,210,7,1618
1676,284,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,390,1240,3,1618
1646,22,953,4,1618
1646,75,130,5,1618
1646,172,400,6,1618
1646,48,210,7,1618
1646,231,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,363,1240,3,1618
1676,22,953,4,1618
1676,69,130,5,1618
1676,131,400,6,1618
1676,50,210,7,1618
1676,181,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,344,1240,3,1618
1646,22,953,4,1618
1646,65,130,5,1618
1646,112,400,6,1618
1646,41,210,7,1618
1646,140,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,324,1240,3,1618
1676,22,953,4,1618
1676,65,130,5,1618
1676,98,400,6,1618
1676,38,210,7,1618
1676,117,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,323,1240,3,1618
1646,22,953,4,1618
1646,64,130,5,1618
1646,88,400,6,1618
1646,39,210,7,1618
1646,110,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,326,1240,3,1618
1676,22,953,4,1618
1676,63,130,5,1618
1676,75,400,6,1618
1676,38,210,7,1618
1676,97,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,330,1240,3,1618
1646,22,953,4,1618
1646,62,130,5,1618
1646,64,400,6,1618
1646,33,210,7,1618
1646,79,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,309,1240,3,1618
1676,22,953,4,1618
1676,54,130,5,1618
1676,57,400,6,1618
1676,33,210,7,1618
1676,75,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,281,1240,3,1618
1646,22,953,4,1618
1646,51,130,5,1618
1646,48,400,6,1618
1646,32,210,7,1618
1646,68,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,254,1240,3,1618
1676,22,953,4,1618
1676,47,130,5,1618
1676,46,400,6,1618
1676,32,210,7,1618
1676,67,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,231,1240,3,1618
1646,22,953,4,1618
1646,38,130,5,1618
1646,43,400,6,1618
1646,32,210,7,1618
1646,63,700,8,1618
1676,62,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,228,1240,3,1618
1676,22,953,4,1618
1676,34,130,5,1618
1676,36,400,6,1618
1676,30,210,7,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,227,1240,3,1618
1646,22,953,4,1618
1646,30,130,5,1618
1646,35,400,6,1618
1646,30,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,227,1240,3,1618
1676,22,953,4,1618
1676,30,130,5,1618
1676,35,400,6,1618
1676,30,210,7,1618
1676,63,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,226,1240,3,1618
1646,22,953,4,1618
1646,32,130,5,1618
1646,35,400,6,1618
1646,29,210,7,1618
1646,60,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,223,1240,3,1618
1676,22,953,4,1618
1676,31,130,5,1618
1676,35,400,6,1618
1676,28,210,7,1618
1676,60,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,223,1240,3,1618
1646,22,953,4,1618
1646,29,130,5,1618
1646,35,400,6,1618
1646,28,210,7,1618
1646,60,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,223,1240,3,1618
1676,22,953,4,1618
1676,29,130,5,1618
1676,35,400,6,1618
1676,29,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,223,1240,3,1618
1646,22,953,4,1618
1646,28,130,5,1618
1646,35,400,6,1618
1646,29,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,223,1240,3,1618
1676,22,953,4,1618
1676,29,130,5,1618
1676,35,400,6,1618
1676,29,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,223,1240,3,1618
1646,22,953,4,1618
1646,29,130,5,1618
1646,35,400,6,1618
1646,29,210,7,1618
1646,63,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,223,1240,3,1618
1676,22,953,4,1618
1676,29,130,5,1618
1676,35,400,6,1618
1676,29,210,7,1618
1676,63,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,223,1240,3,1618
1646,22,953,4,1618
1646,29,130,5,1618
1646,35,400,6,1618
1646,28,210,7,1618
1646,64,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,223,1240,3,1618
1676,22,953,4,1618
1676,29,130,5,1618
1676,35,400,6,1618
1676,28,210,7,1618
1676,64,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,222,1240,3,1618
1646,22,953,4,1618
1646,27,130,5,1618
1646,35,400,6,1618
1646,28,210,7,1618
1646,64,700,8,1618
1676,64,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,224,1240,3,1618
1676,22,953,4,1618
1676,27,130,5,1618
1676,35,400,6,1618
1676,29,210,7,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,238,1240,3,1618
1646,22,953,4,1618
1646,30,130,5,1618
1646,35,400,6,1618
1646,32,210,7,1618
1646,66,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,267,1240,3,1618
1676,22,953,4,1618
1676,34,130,5,1618
1676,35,400,6,1618
1676,39,210,7,1618
1676,71,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,261,1240,3,1618
1646,22,953,4,1618
1646,32,130,5,1618
1646,47,400,6,1618
1646,49,210,7,1618
1646,86,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,339,1240,3,1618
1676,22,953,4,1618
1676,33,130,5,1618
1676,71,400,6,1618
1676,74,210,7,1618
1676,126,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,479,1240,3,1618
1646,146,953,4,1618
1646,36,130,5,1618
1646,81,400,6,1618
1646,96,210,7,1618
1646,183,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,660,1240,3,1618
1676,223,953,4,1618
1676,56,130,5,1618
1676,106,400,6,1618
1676,105,210,7,1618
1676,246,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,741,1240,3,1618
1646,280,953,4,1618
1646,66,130,5,1618
1646,151,400,6,1618
1646,110,210,7,1618
1646,294,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,810,1240,3,1618
1676,301,953,4,1618
1676,73,130,5,1618
1676,177,400,6,1618
1676,113,210,7,1618
1676,354,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,845,1240,3,1618
1646,382,953,4,1618
1646,83,130,5,1618
1646,210,400,6,1618
1646,121,210,7,1618
1646,429,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,849,1240,3,1618
1676,441,953,4,1618
1676,110,130,5,1618
1676,238,400,6,1618
1676,122,210,7,1618
1676,471,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,869,1240,3,1618
1646,473,953,4,1618
1646,111,130,5,1618
1646,260,400,6,1618
1646,122,210,7,1618
1646,520,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,882,1240,3,1618
1676,487,953,4,1618
1676,110,130,5,1618
1676,272,400,6,1618
1676,118,210,7,1618
1676,520,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,870,1240,3,1618
1646,474,953,4,1618
1646,114,130,5,1618
1646,289,400,6,1618
1646,115,210,7,1618
1646,523,700,8,1618
1676,529,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,856,1240,3,1618
1676,490,953,4,1618
1676,113,130,5,1618
1676,292,400,6,1618
1676,115,210,7,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,859,1240,3,1618
1646,509,953,4,1618
1646,119,130,5,1618
1646,296,400,6,1618
1646,122,210,7,1618
1646,529,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,847,1240,3,1618
1676,495,953,4,1618
1676,117,130,5,1618
1676,307,400,6,1618
1676,115,210,7,1618
1676,518,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,815,1240,3,1618
1646,466,953,4,1618
1646,110,130,5,1618
1646,288,400,6,1618
1646,104,210,7,1618
1646,519,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,787,1240,3,1618
1676,472,953,4,1618
1676,113,130,5,1618
1676,264,400,6,1618
1676,95,210,7,1618
1676,487,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,697,1240,3,1618
1646,442,953,4,1618
1646,97,130,5,1618
1646,245,400,6,1618
1646,70,210,7,1618
1646,448,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,597,1240,3,1618
1676,400,953,4,1618
1676,99,130,5,1618
1676,218,400,6,1618
1676,59,210,7,1618
1676,395,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,461,1240,3,1618
1646,400,953,4,1618
1646,92,130,5,1618
1646,186,400,6,1618
1646,52,210,7,1618
1646,351,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,369,1240,3,1618
1676,363,953,4,1618
1676,90,130,5,1618
1676,174,400,6,1618
1676,48,210,7,1618
1676,309,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,312,1240,3,1618
1646,360,953,4,1618
1646,90,130,5,1618
1646,168,400,6,1618
1646,45,210,7,1618
1646,264,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,295,1240,3,1618
1676,328,953,4,1618
1676,79,130,5,1618
1676,126,400,6,1618
1676,44,210,7,1618
1676,217,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,296,1240,3,1618
1646,298,953,4,1618
1646,82,130,5,1618
1646,108,400,6,1618
1646,39,210,7,1618
1646,176,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,277,1240,3,1618
1676,269,953,4,1618
1676,84,130,5,1618
1676,104,400,6,1618
1676,39,210,7,1618
1676,143,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,268,1240,3,1618
1646,206,953,4,1618
1646,94,130,5,1618
1646,96,400,6,1618
1646,37,210,7,1618
1646,123,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,258,1240,3,1618
1676,176,953,4,1618
1676,94,130,5,1618
1676,87,400,6,1618
1676,35,210,7,1618
1676,110,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,262,1240,3,1618
1646,164,953,4,1618
1646,92,130,5,1618
1646,73,400,6,1618
1646,33,210,7,1618
1646,89,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,260,1240,3,1618
1676,151,953,4,1618
1676,92,130,5,1618
1676,59,400,6,1618
1676,33,210,7,1618
1676,83,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,247,1240,3,1618
1646,129,953,4,1618
1646,81,130,5,1618
1646,48,400,6,1618
1646,30,210,7,1618
1646,77,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,227,1240,3,1618
1676,90,953,4,1618
1676,71,130,5,1618
1676,38,400,6,1618
1676,31,210,7,1618
1676,70,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,186,1240,3,1618
1646,80,953,4,1618
1646,63,130,5,1618
1646,30,400,6,1618
1646,28,210,7,1618
1646,66,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,184,1240,3,1618
1676,74,953,4,1618
1676,56,130,5,1618
1676,23,400,6,1618
1676,28,210,7,1618
1676,63,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,185,1240,3,1618
1646,71,953,4,1618
1646,52,130,5,1618
1646,21,400,6,1618
1646,28,210,7,1618
1646,60,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,183,1240,3,1618
1676,55,953,4,1618
1676,49,130,5,1618
1676,21,400,6,1618
1676,28,210,7,1618
1676,60,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,184,1240,3,1618
1646,22,953,4,1618
1646,48,130,5,1618
1646,21,400,6,1618
1646,29,210,7,1618
1646,58,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,183,1240,3,1618
1676,22,953,4,1618
1676,46,130,5,1618
1676,21,400,6,1618
1676,29,210,7,1618
1676,58,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,182,1240,3,1618
1646,10,953,4,1618
1646,45,130,5,1618
1646,21,400,6,1618
1646,29,210,7,1618
1646,58,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,182,1240,3,1618
1676,10,953,4,1618
1676,44,130,5,1618
1676,21,400,6,1618
1676,29,210,7,1618
1676,59,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,182,1240,3,1618
1646,10,953,4,1618
1646,44,130,5,1618
1646,21,400,6,1618
1646,29,210,7,1618
1646,59,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,182,1240,3,1618
1676,10,953,4,1618
1676,44,130,5,1618
1676,21,400,6,1618
1676,29,210,7,1618
1676,59,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,182,1240,3,1618
1646,10,953,4,1618
1646,43,130,5,1618
1646,21,400,6,1618
1646,29,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,182,1240,3,1618
1676,10,953,4,1618
1676,43,130,5,1618
1676,21,400,6,1618
1676,29,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,182,1240,3,1618
1646,11,953,4,1618
1646,43,130,5,1618
1646,21,400,6,1618
1646,29,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,183,1240,3,1618
1676,12,953,4,1618
1676,44,130,5,1618
1676,21,400,6,1618
1676,29,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,184,1240,3,1618
1646,12,953,4,1618
1646,44,130,5,1618
1646,21,400,6,1618
1646,29,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,189,1240,3,1618
1676,15,953,4,1618
1676,44,130,5,1618
1676,21,400,6,1618
1676,29,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,196,1240,3,1618
1646,22,953,4,1618
1646,46,130,5,1618
1646,21,400,6,1618
1646,31,210,7,1618
1646,64,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,212,1240,3,1618
1676,25,953,4,1618
1676,42,130,5,1618
1676,21,400,6,1618
1676,33,210,7,1618
1676,69,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,247,1240,3,1618
1646,44,953,4,1618
1646,34,130,5,1618
1646,23,400,6,1618
1646,48,210,7,1618
1646,82,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,333,1240,3,1618
1676,78,953,4,1618
1676,32,130,5,1618
1676,41,400,6,1618
1676,69,210,7,1618
1676,105,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,501,1240,3,1618
1646,158,953,4,1618
1646,30,130,5,1618
1646,70,400,6,1618
1646,85,210,7,1618
1646,160,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,680,1240,3,1618
1676,222,953,4,1618
1676,48,130,5,1618
1676,103,400,6,1618
1676,95,210,7,1618
1676,228,700,8,1618
1630,0,65,1,1618
1630,0,512,2,1618
1630,746,1240,3,1618
1630,260,953,4,1618
1630,62,130,5,1618
1630,122,400,6,1618
1630,98,210,7,1618
1630,253,700,8,1618
1660,139,400,6,1618
1660,0,65,1,1618
1660,0,512,2,1618
1660,798,1240,3,1618
1660,299,953,4,1618
1660,74,130,5,1618
1660,106,210,7,1618
1660,303,700,8,1618
1630,0,65,1,1618
1630,0,512,2,1618
1630,830,1240,3,1618
